source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,intersections,evidences,query_name
GO:BP,GO:0051276,chromosome organization,0.024664369940782863,True,"""A process that is carried out at the cellular level that results in the assembly, arrangement of constituent parts, or disassembly of chromosomes, structures composed of a very long molecule of DNA and associated proteins that carries hereditary information. This term covers covalent modifications at the molecular level as well as spatial relationships among the major components of a chromosome."" [GOC:ai, GOC:dph, GOC:jl, GOC:mah]",574,72,7,21026,0.09722222222222222,0.012195121951219513,query_1,['GO:0006996'],"['PARP3', 'ACIN1', 'TNKS2', 'PARP1', 'HNRNPU', 'TNKS', 'XRCC6']","[['IMP', 'TAS'], ['IDA'], ['IMP', 'IBA', 'TAS'], ['ISS', 'TAS'], ['IMP'], ['IDA', 'IMP', 'IBA', 'TAS'], ['IBA', 'TAS', 'IEA']]",Fig3D_VertExpanded
GO:BP,GO:2000628,regulation of miRNA metabolic process,0.025195426499531357,True,"""Any process that modulates the frequency, rate or extent of miRNA metabolic process."" [GOC:dph]",90,72,3,21026,0.041666666666666664,0.03333333333333333,query_1,"['GO:0010586', 'GO:0051252']","['MYOCD', 'MRTFB', 'MRTFA']","[['IEA'], ['IGI'], ['IGI']]",Fig3D_VertExpanded
GO:BP,GO:0032101,regulation of response to external stimulus,0.025242052385203242,True,"""Any process that modulates the frequency, rate or extent of a response to an external stimulus."" [GOC:mah]",1082,72,10,21026,0.1388888888888889,0.009242144177449169,query_1,"['GO:0009605', 'GO:0048583']","['OAS1', 'ZC3HAV1', 'OAS3', 'OASL', 'PARP1', 'YTHDF1', 'PARP14', 'YTHDF3', 'XRCC6', 'YTHDF2']","[['IMP'], ['IMP'], ['IMP'], ['IDA'], ['IDA', 'IMP'], ['ISS'], ['IMP', 'IEA'], ['ISS', 'IEA'], ['IDA'], ['IMP']]",Fig3D_VertExpanded
GO:BP,GO:0006974,DNA damage response,0.025501598482229153,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating damage to its DNA from environmental insults or errors during metabolism."" [GOC:go_curators]",908,72,9,21026,0.125,0.009911894273127754,query_1,['GO:0033554'],"['PARP3', 'RAD18', 'PARP4', 'DEK', 'MBD4', 'PARP2', 'PARP1', 'PARP10', 'XRCC6']","[['IDA', 'IMP', 'IBA', 'IEA'], ['IDA', 'IBA', 'NAS', 'IEA'], ['TAS', 'NAS'], ['IMP', 'IBA', 'IEA'], ['TAS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IMP', 'IGI', 'IBA', 'TAS', 'IEA'], ['IDA', 'IEA'], ['IDA', 'IMP', 'IBA', 'TAS', 'NAS', 'IEA']]",Fig3D_VertExpanded
GO:BP,GO:0051246,regulation of protein metabolic process,0.025515280618071474,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving a protein."" [GOC:ai]",1855,72,14,21026,0.19444444444444445,0.007547169811320755,query_1,"['GO:0019538', 'GO:0060255', 'GO:0080090']","['FASTKD2', 'FASTKD3', 'PARP16', 'MYOCD', 'YTHDF1', 'HNRNPU', 'TIPARP', 'PARP14', 'PARP10', 'YTHDF3', 'XRCC6', 'YTHDF2', 'SARNP', 'ANG']","[['IMP'], ['IDA'], ['IDA'], ['IDA'], ['IDA', 'IMP'], ['IDA'], ['IMP'], ['IMP'], ['IMP'], ['IDA', 'IMP'], ['IDA'], ['IDA'], ['IEA'], ['IEA']]",Fig3D_VertExpanded
GO:BP,GO:1904358,positive regulation of telomere maintenance via telomere lengthening,0.025865899643171444,True,"""Any process that activates or increases the frequency, rate or extent of telomere maintenance via telomere lengthening."" [GO_REF:0000058, GOC:BHF, GOC:BHF_telomere, GOC:nc, GOC:TermGenie, PMID:23959892]",27,72,2,21026,0.027777777777777776,0.07407407407407407,query_1,"['GO:0010833', 'GO:0032206', 'GO:1904356']","['TNKS2', 'TNKS']","[['TAS'], ['IDA', 'IMP']]",Fig3D_VertExpanded
GO:BP,GO:0014742,positive regulation of muscle hypertrophy,0.025865899643171444,True,"""Any process that activates or increases the frequency, rate or extent of muscle hypertrophy."" [GOC:mtg_muscle]",27,72,2,21026,0.027777777777777776,0.07407407407407407,query_1,"['GO:0014743', 'GO:0014896', 'GO:0051240']","['PARP2', 'PARP1']","[['IEA'], ['ISS', 'IEA']]",Fig3D_VertExpanded
GO:BP,GO:0016233,telomere capping,0.025865899643171444,True,"""A process in which telomeres are protected from degradation and fusion, thereby ensuring chromosome stability by protecting the ends from both degradation and from being recognized as damaged DNA. May be mediated by specific single- or double-stranded telomeric DNA binding proteins."" [GOC:mah, GOC:rn, PMID:11349150, PMID:11352055]",27,72,2,21026,0.027777777777777776,0.07407407407407407,query_1,['GO:0000723'],"['TNKS2', 'TNKS']","[['IMP', 'IBA'], ['IMP', 'IBA']]",Fig3D_VertExpanded
GO:BP,GO:0043484,regulation of RNA splicing,0.026117454921518447,True,"""Any process that modulates the frequency, rate or extent of RNA splicing, the process of removing sections of the primary RNA transcript to remove sequences not present in the mature form of the RNA and joining the remaining sections to form the mature form of the RNA."" [GOC:jl]",187,72,4,21026,0.05555555555555555,0.0213903743315508,query_1,"['GO:0008380', 'GO:0010468', 'GO:0080090']","['YTHDC1', 'ACIN1', 'HNRNPU', 'FASTK']","[['IDA', 'IBA', 'IEA'], ['IDA'], ['IDA'], ['IDA', 'IMP']]",Fig3D_VertExpanded
GO:BP,GO:0008152,metabolic process,0.027110619870818736,True,"""A cellular process consisting of the biochemical pathways by which a living organism transforms chemical substances. This includes including anabolism (biosynthetic process) and catabolism (catabolic process). Metabolic processes includes the transformation of small molecules, as well  macromolecular processes such as DNA repair and replication, protein synthesis and degradation."" [GOC:go_curators, ISBN:0198547684]",14136,72,59,21026,0.8194444444444444,0.0041737408036219585,query_1,['GO:0009987'],"['PARP3', 'PARP12', 'CCAR1', 'RAD18', 'MBD3', 'BAZ2A', 'YTHDC1', 'SF3B2', 'OAS1', 'ACIN1', 'PARP4', 'ERI1', 'HNRNPUL1', 'ZC3HAV1', 'TNKS2', 'PARP11', 'OAS3', 'OAS2', 'FASTKD2', 'BAZ2B', 'FASTKD3', 'DEK', 'MBD4', 'PARP2', 'SAFB2', 'MBD2', 'SETDB2', 'TBRG4', 'SLTM', 'PARP6', 'FASTKD1', 'PARP16', 'MYOCD', 'MBD1', 'SETDB1', 'PARP1', 'YTHDF1', 'PARP8', 'HNRNPU', 'SAFB', 'TIPARP', 'FASTK', 'MECP2', 'RNASE2', 'RNASE3', 'RNASE6', 'PARP14', 'PARP15', 'TNKS', 'MAMSTR', 'PARP10', 'YTHDF3', 'MRTFB', 'XRCC6', 'MRTFA', 'YTHDF2', 'SARNP', 'ANG', 'FASTKD5']","[['IDA', 'IMP', 'ISS', 'IBA', 'TAS', 'IEA'], ['IDA'], ['IBA', 'IEA'], ['IDA', 'IBA', 'NAS', 'IEA'], ['IBA', 'NAS', 'IEA'], ['ISS', 'ISO', 'NAS', 'IEA'], ['IDA', 'ISS', 'IBA', 'IEA'], ['IDA', 'IBA', 'TAS', 'NAS', 'IC', 'IEA'], ['IDA', 'IMP'], ['IDA', 'IBA', 'IEA'], ['IDA', 'TAS', 'NAS'], ['IMP', 'ISS', 'IBA', 'IEA'], ['TAS'], ['IDA', 'IBA'], ['IDA', 'IMP', 'IBA', 'TAS'], ['IDA'], ['IDA', 'IMP', 'TAS'], ['IMP', 'TAS', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['NAS'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IMP', 'IBA', 'TAS', 'NAS', 'IEA'], ['TAS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IBA'], ['IGI', 'IBA', 'NAS', 'IEA'], ['ISS', 'IBA', 'IEA'], ['IMP', 'IBA', 'IEA'], ['IBA'], ['IDA'], ['IMP', 'IBA', 'IEA'], ['IDA', 'IMP'], ['IDA', 'ISS', 'IBA', 'IEA'], ['TAS', 'NAS', 'IEA'], ['ISS', 'IBA', 'TAS', 'IEA'], ['IDA', 'IMP', 'IGI', 'ISS', 'IBA', 'TAS', 'IEA'], ['IDA', 'IMP', 'IBA'], ['IDA'], ['IDA', 'IMP', 'ISS', 'IBA', 'TAS', 'IC', 'IEA'], ['IBA'], ['IMP', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IDA', 'IMP', 'IBA', 'TAS', 'IEA'], ['TAS'], ['TAS'], ['TAS'], ['IMP', 'IBA', 'IEA'], ['IMP', 'IBA'], ['IDA', 'IMP', 'IBA', 'TAS'], ['IBA', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IDA', 'IGI', 'IBA', 'IEA'], ['IDA', 'IMP', 'IBA', 'TAS', 'NAS', 'IEA'], ['IDA', 'IGI', 'IBA', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IMP', 'TAS', 'IEA'], ['IMP', 'IBA', 'IEA']]",Fig3D_VertExpanded
GO:CC,GO:0035861,site of double-strand break,0.02735516689887304,True,"""A region of a chromosome at which a DNA double-strand break has occurred. DNA damage signaling and repair proteins accumulate at the lesion to respond to the damage and repair the DNA to form a continuous DNA helix."" [GOC:bf, GOC:mah, GOC:vw, PMID:20096808, PMID:21035408]",98,73,3,22149,0.0410958904109589,0.030612244897959183,query_1,['GO:0090734'],"['PARP3', 'RAD18', 'PARP1']","[['IDA', 'IBA', 'IEA'], ['IDA'], ['IDA']]",Fig3D_VertExpanded
GO:MF,GO:0071207,histone pre-mRNA stem-loop binding,0.02737602898406282,True,"""Binding to a conserved stem-loop structure found in histone pre-mRNAs."" [PMID:19470752]",2,73,1,20246,0.0136986301369863,0.5,query_1,['GO:0036002'],['ERI1'],[['ISS']],Fig3D_VertExpanded
GO:MF,GO:0008263,pyrimidine-specific mismatch base pair DNA N-glycosylase activity,0.02737602898406282,True,"""Catalysis of the removal of mismatched pyrimidine bases in DNA. Enzymes with this activity recognize and remove pyrimidines present in mismatches by cleaving the N-C1' glycosidic bond between the target damaged DNA base and the deoxyribose sugar. The reaction releases a free base and leaves an apyrimidinic (AP) site."" [GOC:elh, PMID:9224623]",2,73,1,20246,0.0136986301369863,0.5,query_1,['GO:0000700'],['MBD4'],"[['IDA', 'IEA']]",Fig3D_VertExpanded
GO:MF,GO:0062153,C5-methylcytidine-containing RNA reader activity,0.02737602898406282,True,"""A protein adaptor that recognizes and binds an RNA molecule modified by C5-methylcytidine."" [PMID:28418038]",2,73,1,20246,0.0136986301369863,0.5,query_1,['GO:0140517'],['YTHDF2'],[['IDA']],Fig3D_VertExpanded
GO:BP,GO:2001032,regulation of double-strand break repair via nonhomologous end joining,0.02739478773223078,True,"""Any process that modulates the frequency, rate or extent of double-strand break repair via nonhomologous end joining."" [GOC:obol]",28,72,2,21026,0.027777777777777776,0.07142857142857142,query_1,"['GO:0006303', 'GO:2000779']","['PARP3', 'DEK']","[['IDA'], ['IEA']]",Fig3D_VertExpanded
GO:BP,GO:0034620,cellular response to unfolded protein,0.02739478773223078,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an unfolded protein stimulus."" [GOC:mah]",94,72,3,21026,0.041666666666666664,0.031914893617021274,query_1,"['GO:0006986', 'GO:0035967']","['PARP6', 'PARP16', 'PARP8']","[['IBA', 'IEA'], ['IMP', 'IBA'], ['IBA']]",Fig3D_VertExpanded
GO:MF,GO:0043022,ribosome binding,0.028291212414670225,True,"""Binding to a ribosome."" [GOC:go_curators]",111,73,3,20246,0.0410958904109589,0.02702702702702703,query_1,['GO:0043021'],"['ERI1', 'YTHDF1', 'YTHDF3']","[['ISS'], ['IDA'], ['IDA']]",Fig3D_VertExpanded
GO:CC,GO:0000932,P-body,0.028770620528765993,True,"""A focus in the cytoplasm where mRNAs may become inactivated by decapping or some other mechanism. Protein and RNA localized to these foci are involved in mRNA degradation, nonsense-mediated mRNA decay (NMD), translational repression, and RNA-mediated gene silencing."" [GOC:clt, PMID:12730603]",101,73,3,22149,0.0410958904109589,0.0297029702970297,query_1,['GO:0036464'],"['YTHDF1', 'YTHDF3', 'YTHDF2']","[['IDA', 'IEA'], ['IDA', 'IEA'], ['IDA', 'IEA']]",Fig3D_VertExpanded
GO:BP,GO:0033993,response to lipid,0.028814093207952786,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a lipid stimulus."" [GOC:sl]",930,72,9,21026,0.125,0.00967741935483871,query_1,['GO:0042221'],"['MBD3', 'MBD4', 'SAFB2', 'MBD2', 'MBD1', 'PARP1', 'HNRNPU', 'SAFB', 'MECP2']","[['IEA'], ['IEA'], ['IBA', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IDA'], ['IBA'], ['IEA']]",Fig3D_VertExpanded
GO:BP,GO:0002227,innate immune response in mucosa,0.029009091545937317,True,"""Any process of the innate immune response that takes place in the mucosal tissues."" [GOC:add, PMID:10719665, PMID:15971105]",29,72,2,21026,0.027777777777777776,0.06896551724137931,query_1,"['GO:0002385', 'GO:0045087']","['RNASE2', 'RNASE3']","[['IBA', 'IEA'], ['IDA', 'IBA']]",Fig3D_VertExpanded
GO:BP,GO:0048710,regulation of astrocyte differentiation,0.029009091545937317,True,"""Any process that modulates the frequency, rate or extent of astrocyte differentiation."" [GOC:vp, PMID:15139015]",29,72,2,21026,0.027777777777777776,0.06896551724137931,query_1,"['GO:0045685', 'GO:0048708']","['MBD1', 'MECP2']","[['IEA'], ['IEA']]",Fig3D_VertExpanded
GO:BP,GO:0009058,biosynthetic process,0.0292031239961363,True,"""A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones."" [GOC:curators, ISBN:0198547684]",10664,72,48,21026,0.6666666666666666,0.00450112528132033,query_1,['GO:0008152'],"['PARP3', 'CCAR1', 'MBD3', 'BAZ2A', 'YTHDC1', 'SF3B2', 'OAS1', 'ACIN1', 'ERI1', 'HNRNPUL1', 'ZC3HAV1', 'TNKS2', 'OAS3', 'OAS2', 'FASTKD2', 'BAZ2B', 'FASTKD3', 'DEK', 'SAFB2', 'MBD2', 'SETDB2', 'TBRG4', 'SLTM', 'FASTKD1', 'PARP16', 'MYOCD', 'MBD1', 'SETDB1', 'PARP1', 'YTHDF1', 'HNRNPU', 'SAFB', 'TIPARP', 'FASTK', 'MECP2', 'PARP14', 'PARP15', 'TNKS', 'MAMSTR', 'PARP10', 'YTHDF3', 'MRTFB', 'XRCC6', 'MRTFA', 'YTHDF2', 'SARNP', 'ANG', 'FASTKD5']","[['ISS', 'TAS', 'IEA'], ['IEA'], ['IBA', 'NAS', 'IEA'], ['ISS', 'ISO', 'NAS', 'IEA'], ['IDA', 'ISS', 'IBA', 'IEA'], ['IDA', 'IBA', 'TAS', 'NAS', 'IC', 'IEA'], ['IMP'], ['IDA', 'IBA', 'IEA'], ['IMP', 'ISS', 'IBA', 'IEA'], ['TAS'], ['IDA', 'IBA'], ['TAS'], ['IMP'], ['IMP'], ['IDA', 'IMP', 'IBA', 'IEA'], ['NAS'], ['IDA', 'IBA', 'IEA'], ['IDA', 'TAS', 'NAS'], ['IBA'], ['IGI', 'IBA', 'NAS', 'IEA'], ['ISS', 'IBA'], ['IMP', 'IBA', 'IEA'], ['IBA'], ['IMP', 'IBA', 'IEA'], ['IDA'], ['IDA', 'ISS', 'IBA', 'IEA'], ['TAS', 'NAS', 'IEA'], ['ISS', 'IBA', 'TAS'], ['IDA', 'IMP', 'ISS', 'TAS', 'IEA'], ['IDA', 'IMP', 'IBA'], ['IDA', 'IMP', 'ISS', 'IBA', 'TAS', 'IC', 'IEA'], ['IBA'], ['IMP'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IDA', 'IMP', 'IBA', 'TAS', 'IEA'], ['IMP', 'IBA', 'IEA'], ['IMP', 'IBA'], ['IDA', 'IMP', 'TAS'], ['IBA', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IDA', 'IGI', 'IBA', 'IEA'], ['IDA', 'IMP', 'IEA'], ['IDA', 'IGI', 'IBA', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IMP', 'IEA'], ['IMP', 'IBA', 'IEA']]",Fig3D_VertExpanded
GO:BP,GO:0045893,positive regulation of DNA-templated transcription,0.030320637357332834,True,"""Any process that activates or increases the frequency, rate or extent of cellular DNA-templated transcription."" [GOC:go_curators, GOC:txnOH]",1697,72,13,21026,0.18055555555555555,0.0076605774896876845,query_1,"['GO:0006351', 'GO:0006355', 'GO:1902680']","['CCAR1', 'MBD3', 'DEK', 'MBD2', 'MYOCD', 'PARP1', 'HNRNPU', 'MECP2', 'TNKS', 'MAMSTR', 'MRTFB', 'XRCC6', 'MRTFA']","[['IEA'], ['NAS'], ['IDA', 'NAS'], ['NAS'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IEA'], ['IMP', 'ISS', 'IBA', 'IEA'], ['IEA'], ['IDA'], ['IEA'], ['IDA', 'IGI', 'IBA', 'IEA'], ['IDA', 'IMP'], ['IDA', 'IGI', 'IBA', 'IEA']]",Fig3D_VertExpanded
GO:BP,GO:1902680,positive regulation of RNA biosynthetic process,0.030509889740820553,True,"""Any process that activates or increases the frequency, rate or extent of RNA biosynthetic process."" [GO:jl, GO_REF:0000058, GOC:TermGenie]",1699,72,13,21026,0.18055555555555555,0.007651559741024131,query_1,"['GO:0010557', 'GO:0032774', 'GO:0051254', 'GO:2001141']","['CCAR1', 'MBD3', 'DEK', 'MBD2', 'MYOCD', 'PARP1', 'HNRNPU', 'MECP2', 'TNKS', 'MAMSTR', 'MRTFB', 'XRCC6', 'MRTFA']","[['IEA'], ['NAS'], ['IDA', 'NAS'], ['NAS'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IEA'], ['IMP', 'ISS', 'IBA', 'IEA'], ['IEA'], ['IDA'], ['IEA'], ['IDA', 'IGI', 'IBA', 'IEA'], ['IDA', 'IMP'], ['IDA', 'IGI', 'IBA', 'IEA']]",Fig3D_VertExpanded
GO:BP,GO:0051984,positive regulation of chromosome segregation,0.030556566605018,True,"""Any process that activates or increases the frequency, rate or extent of chromosome segregation, the process in which genetic material, in the form of chromosomes, is organized and then physically separated and apportioned to two or more sets."" [GOC:ai]",30,72,2,21026,0.027777777777777776,0.06666666666666667,query_1,"['GO:0007059', 'GO:0051983', 'GO:0090068']","['RAD18', 'HNRNPU']","[['IMP'], ['IMP']]",Fig3D_VertExpanded
GO:BP,GO:0006302,double-strand break repair,0.030624864105622675,True,"""The repair of double-strand breaks in DNA via homologous and nonhomologous mechanisms to reform a continuous DNA helix."" [GOC:elh]",319,72,5,21026,0.06944444444444445,0.01567398119122257,query_1,['GO:0006281'],"['PARP3', 'DEK', 'PARP2', 'PARP1', 'XRCC6']","[['IDA', 'IMP', 'IBA', 'IEA'], ['IMP', 'IBA', 'IEA'], ['IBA'], ['IDA', 'IMP', 'IBA'], ['IDA', 'IMP', 'IBA', 'TAS', 'NAS', 'IEA']]",Fig3D_VertExpanded
GO:BP,GO:0019082,viral protein processing,0.03235401203878788,True,"""Any protein maturation process achieved by the cleavage of a peptide bond or bonds within a viral protein."" [GOC:bf, GOC:jl, ISBN:0781702534]",31,72,2,21026,0.027777777777777776,0.06451612903225806,query_1,"['GO:0016032', 'GO:0019080']","['PARP16', 'PARP10']","[['TAS'], ['TAS']]",Fig3D_VertExpanded
GO:MF,GO:0000217,DNA secondary structure binding,0.03330200111026504,True,"""Binding to a DNA secondary structure element such as a four-way junction, a bubble, a loop, Y-form DNA, or a double-strand/single-strand junction."" [GOC:krc]",40,73,2,20246,0.0273972602739726,0.05,query_1,['GO:0003677'],"['RAD18', 'MECP2']","[['IDA'], ['IEA']]",Fig3D_VertExpanded
GO:MF,GO:0001530,lipopolysaccharide binding,0.03330200111026504,True,"""Binding to a lipopolysaccharide."" [PMID:11079463]",40,73,2,20246,0.0273972602739726,0.05,query_1,"['GO:0008289', 'GO:0097367']","['RNASE7', 'RNASE3']","[['IDA'], ['IDA']]",Fig3D_VertExpanded
GO:BP,GO:2000279,negative regulation of DNA biosynthetic process,0.0342966008493137,True,"""Any process that stops, prevents or reduces the frequency, rate or extent of DNA biosynthetic process."" [GOC:obol]",32,72,2,21026,0.027777777777777776,0.0625,query_1,"['GO:0010558', 'GO:0051053', 'GO:0071897', 'GO:2000278']","['PARP3', 'HNRNPU']","[['TAS'], ['IMP']]",Fig3D_VertExpanded
GO:BP,GO:0044703,multi-organism reproductive process,0.0342966008493137,True,"""A biological process that directly contributes to the process of producing new individuals, involving another organism."" [GOC:jl]",205,72,4,21026,0.05555555555555555,0.01951219512195122,query_1,['GO:0022414'],"['PARP2', 'PARP1', 'EDDM3A', 'YTHDF3']","[['ISS', 'IEA'], ['ISS'], ['TAS'], ['IMP']]",Fig3D_VertExpanded
GO:BP,GO:0072359,circulatory system development,0.0346236329096585,True,"""The process whose specific outcome is the progression of the circulatory system over time, from its formation to the mature structure. The circulatory system is the organ system that passes nutrients (such as amino acids and electrolytes), gases, hormones, blood cells, etc. to and from cells in the body to help fight diseases and help stabilize body temperature and pH to maintain homeostasis."" [GOC:mah, UBERON:0001009]",1145,72,10,21026,0.1388888888888889,0.008733624454148471,query_1,['GO:0048731'],"['MBD3', 'PARP2', 'MBD2', 'SETDB2', 'MYOCD', 'MBD1', 'HNRNPU', 'TIPARP', 'MECP2', 'ANG']","[['IEA'], ['IEA'], ['IEA'], ['ISS'], ['IDA', 'ISS', 'IBA', 'NAS', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IMP', 'IEA'], ['IDA', 'IMP', 'IBA', 'TAS', 'IEA']]",Fig3D_VertExpanded
GO:BP,GO:0032760,positive regulation of tumor necrosis factor production,0.0346236329096585,True,"""Any process that activates or increases the frequency, rate or extent of tumor necrosis factor production."" [GO_REF:0000058, GOC:TermGenie, PMID:10891884, PMID:15560120]",104,72,3,21026,0.041666666666666664,0.028846153846153848,query_1,"['GO:0032640', 'GO:0032680', 'GO:1903557']","['OAS1', 'OAS3', 'OAS2']","[['IMP'], ['IMP'], ['IMP']]",Fig3D_VertExpanded
GO:MF,GO:0140938,histone H3 methyltransferase activity,0.036067579654442475,True,"""Catalysis of the reaction: S-adenosyl-L-methionine + a histone H3 = S-adenosyl-L-homocysteine + a methylated histone H3. Histone methylation generally occurs on either an arginine or a lysine residue."" [PMID:28450737]",42,73,2,20246,0.0273972602739726,0.047619047619047616,query_1,['GO:0042054'],"['SETDB2', 'SETDB1']","[['IDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA']]",Fig3D_VertExpanded
GO:BP,GO:0010586,miRNA metabolic process,0.036371320941864176,True,"""The chemical reactions and pathways involving miRNA, microRNA, a class of single-stranded RNA molecules of about 21-23 nucleotides in length, which regulates gene expression."" [PMID:17993620]",106,72,3,21026,0.041666666666666664,0.02830188679245283,query_1,['GO:0016070'],"['MYOCD', 'MRTFB', 'MRTFA']","[['IEA'], ['IGI'], ['IGI']]",Fig3D_VertExpanded
GO:MF,GO:0001097,TFIIH-class transcription factor complex binding,0.036956186912578674,True,"""Binding to a general RNA polymerase II transcription factor belonging to the TFIIH complex, one of the factors involved in formation of the preinitiation complex (PIC) by RNA polymerase II."" [GOC:krc, PMID:16858867]",3,73,1,20246,0.0136986301369863,0.3333333333333333,query_1,"['GO:0001091', 'GO:0044877']",['HNRNPU'],[['IDA']],Fig3D_VertExpanded
